标题,地址,小区,户型,面积,楼层,月租,出租类型,朝向,有无电梯,地铁
无中介费20平南大主卧新源时代小区3室1厅1卫精装修南北通透,大兴-生物医药基地 纪百户街16号,新源时代小区,3室1厅,20平米,低层(共18层),1699,合租,朝南,有,4号线大兴线
免中介费 月付 程庄路 彩虹家园 20平  1500月 精装,丰台-丰台体育馆 程庄路20号,彩虹家园(南区),3室1厅,15平米,中层(共6层),1500,合租,朝南,无,14号线
颐源居东南景观房，一年一租大两居，钥匙房源，随时看,海淀-公主坟 翠薇路4号,颐源居,2室2厅,121.3平米,高层(共27层),13500,整租,东南,有,1/10号线
八角居然之家 山姆会员店盒马鲜生茂华大厦南向主卧带阳台随时看,石景山-八角 八角北路11号,八角北路11号院,3室1厅,23平米,中层(共6层),2200,合租,朝南,无,无
出租 沙河地铁旁500米 精装修 包物业取暖  家具家电齐全,昌平-沙河 于辛庄路,于辛家园,2室1厅,98平米,高层(共6层),3800,整租,南北,无,昌平线
新上实拍！东坝 金隅汇景苑 南向两居 业主签约 自住装修,朝阳-东坝 平房路,汇景苑四区,2室1厅,85.9平米,中层(共28层),6200,整租,朝南,有,无
雅馨家园 新新公寓 昌平地铁站 南大街 次卧出租 随时看房,昌平-昌平县城 东环路,双拥大院,3室1厅,15平米,中层(共6层),1450,合租,朝北,无,昌平线
珠江逸景家园(南区) 2室1厅1卫 91平 精装修 电梯房,通州-马驹桥 景盛北一街16号,珠江逸景家园(南区),2室1厅,91.4平米,低层(共14层),4500,整租,东西,有,无
八一中学家属院  3室1厅1卫 精装修,海淀-苏州街 万泉河路62号,飞达社区,3室1厅,18平米,低层(共6层),3666,合租,朝东,有,10/16号线/西郊线/4号线大兴线
可月付 可月租4号线公益西桥地铁口 城南嘉园 精装主卧阳台,丰台-马家堡 马家堡西路,城南嘉园益嘉园,4室1厅,20平米,高层(共7层),2100,合租,朝南,无,10号线/4号线大兴线
新出好房，南向大卧室 全新地板全新家具 小区环境好 随时看房,朝阳-北苑 双营路2号,筑华年,3室1厅,12平米,中层(共28层),2400,合租,朝南,有,5/13号线
后沙峪新村附近金成雅苑 朝南主卧出租 随时入住,顺义-后沙峪 双裕北街25号,后沙峪新村,4室1厅,15平米,低层(共13层),1700,合租,朝南,有,无
十里河 17号线 周庄嘉园20号院 温馨干净主卧室南向出租,朝阳-十里河 西大望南路,周庄嘉园6号院,2室1厅,19平米,高层(共25层),2500,合租,朝南,有,14/17号线
紫金新园(二区) 3室1厅1卫 配套齐全 南北通透 15平,门头沟-永定 龙林路,紫金新园(二区),3室1厅,15平米,低层(共25层),1350,合租,朝南,有,S1线
可短签押一付一无中介费常营草房地铁口友谊医院通瑞嘉苑精装次卧,通州-潞苑 潞苑东路,通瑞嘉苑,3室1厅,14平米,中层(共22层),1250,合租,朝南,有,无
龙跃苑（东五）精装大次卧中间楼层，手慢无，居住人群素质高,昌平-霍营 良庄西街,龙跃苑(东五区),3室1厅,18平米,中层(共6层),1900,合租,朝北,无,8/13号线
必看好房！ 1室1厅1卫 格局方正 客厅朝南,海淀-清河 学府树北街,橡树湾(一期),1室1厅,42.9平米,高层(共26层),6300,整租,朝南,有,13号线
古城1号线 现代嘉园 精装修朝南主卧 照片实地拍摄 随时看房,石景山-古城 古城西路66号,古城现代嘉园(东区),3室1厅,15平米,中层(共19层),1800,合租,朝南,有,1/11号线/S1线
马驹桥 合生世界村 精装朝南主卧 无中介费 可押一付一,通州-通州周边 环景路18号,合生世界村(H区),3室1厅,15平米,中层(共17层),1260,合租,朝南,有,无
实地拍摄丨下楼北关地铁A口丨南向网红家具丨可月付养宠物丨,通州-北关 新华北路,世界侨商中心,1室1厅,43平米,低层(共19层),4700,整租,朝南,有,6号线
月亮河城堡公寓 1室1厅1卫 3600元月 精装修,通州-北关 芙蓉西路,月亮河城堡公寓,1室1厅,58平米,中层(共11层),3600,整租,朝西,有,无
卧龙小区新荣家园主卧独卫 朝南 随时看房 随时入住押一付一,朝阳-亚运村 慧忠北路,卧龙小区,4室1厅,20平米,高层(共14层),3800,合租,朝南,有,5/8/15号线
北七家 桃园公寓 朝南大次卧 合租人少 交通便利,昌平-北七家 定泗路,桃园公寓,4室1厅,18平米,高层(共7层),1400,合租,朝南,无,无
可月付 可短住 西土城 知春路 牡丹园 北医三院 花园路,海淀-学院路 花园北路48号,花园北路48号院,4室1厅,10平米,高层(共18层),2200,合租,东北,有,10/13/19号线
三里河三区两居，精装修，看房方便，随时入住,西城-三里河 复兴门外大街,三里河三区,2室1厅,47平米,中层(共6层),7631,整租,东西,有,1/2/9/16号线
科技园看丹桥九号线科怡路欧尚韩庄子二里次卧随时入住,丰台-看丹桥 丰台南路,韩庄子二里,3室1厅,15平米,低层(共6层),1799,合租,朝北,无,9号线
必看好房！新上精装两居有钥匙！随时入住（其它都好商量）,海淀-清河 学府树北街,橡树湾(一期),2室1厅,89平米,低层(共21层),10000,整租,东南,有,13号线
玉桥东里三区幸福艺居两居可当宿舍可养宠物精装多套,通州-乔庄 梨园中街,幸福艺居(三区),2室1厅,90平米,中层(共6层),3600,整租,南北,无,无
闫村有电梯 精装修 保养好 实用三居室,房山-阎村 京周路,绿城百合公寓(北区),3室1厅,112.6平米,低层(共18层),5200,整租,南北,有,燕房线
北苑地铁 玉带河西街小区 精装两居 家电齐全 随时看房 月付,通州-新华大街 玉带河西街,玉带河西街小区,2室1厅,75平米,中层(共6层),3500,整租,南北,无,八通线
龙跃苑（东五）精装大次卧中间楼层，手慢无，居住人群素质高,昌平-霍营 良庄西街,龙跃苑(东五区),3室1厅,18平米,中层(共6层),1900,合租,朝北,无,8/13号线
新出 大屯里 大屯路 朝南主卧 带阳台 租期随意,朝阳-亚运村 北苑路,大屯里小区(北区),4室1厅,14平米,低层(共28层),2600,合租,朝西,无,5/15号线
紫金新园(二区) 3室1厅1卫 配套齐全 南北通透 15平,门头沟-永定 龙林路,紫金新园(二区),3室1厅,15平米,低层(共25层),1350,合租,朝南,有,S1线
实图实价首经贸地铁可整租可分租万年花城育芳园育菲园东里三居室,丰台-玉泉营 芳菲路,育菲园东里,3室1厅,90平米,高层(共6层),6300,整租,朝南,无,10号线/房山线
新！中间建筑 精装叠拼别墅 会所接待 停车方便 注册 有花园,海淀-香山 杏石口路50号,中间建筑,4室2厅,349平米,共4层,40000,整租,南北,有,无
通州北关站 朝北8080小区南北通透三居室家电全齐随时入住,通州-北关 滨榆东路,朝北8080,3室2厅,107平米,高层(共7层),6500,整租,南北,有,无
高米店南地铁口 主卧出租 可月付 兴涛社区,大兴-高米店 乐园路,兴涛园,4室2厅,20平米,低层(共6层),1800,合租,朝南,无,4号线大兴线
鼓楼后海附近精装三进四合院出租，会所接待，交通便利,西城-大栅栏 樱桃斜街,铁树斜街胡同小区,5室5厅,1400平米,共1层,400000,整租,南北,无,7号线
丽泽天地 实图拍摄 地铁十号线 西局玉园 精装两居 干净整洁,丰台-丽泽桥 西局南街139号,西局玉园(北区),2室1厅,75平米,高层(共27层),6800,整租,朝南,有,9/10/14号线
代办中介费5折，亦庄核心区，252平，近地铁站，可以办公注册,大兴-亦庄 文化园西路8号,林肯公园C区,4室2厅,251.8平米,中层(共28层),18500,整租,西北,有,亦庄线
立水桥北京北合立方中东路58号院小区16号院小区包物业取暖费,昌平-立水桥 中东路58号,中东路58号院,3室1厅,17平米,中层(共28层),1550,合租,朝南,有,5/13号线
1号线传媒大学地铁站北花园小区2号院合租次卧,朝阳-高碑店 北花园中路,北花园小区(2号院),2室1厅,18平米,低层(共29层),1800,合租,朝南,有,八通线
落地窗主卧！金港国际3居2卫户型 九龙山合生汇金茂府,朝阳-大望路 西大望路19号,金港国际,3室1厅,25平米,高层(共8层),3200,合租,朝南,有,1/7/14号线
骚子营1号院 温馨舒适简单装修3居室 小区安静 家电齐全,海淀-西苑 大有庄大街,骚子营1号院,3室1厅,18平米,中层(共6层),2750,合租,朝北,有,16号线/4号线大兴线
清泽园精装三家合租次卧 近中关村壹号大牛坊 屯佃地铁永丰基地,海淀-上庄 上庄路,上庄家园(南区),3室1厅,14平米,低层(共12层),1600,合租,朝北,有,无
推荐好房 西黄村地铁雍景四季西黄新村北里叠翠庭苑宜家好次卧,石景山-苹果园 田村路,叠翠庭苑(二区),3室1厅,15平米,中层(共16层),1800,合租,朝南,有,6号线
望京东 国风北京 融科橄榄城 慧谷阳光 宝星园超大卧室出租,朝阳-望京 宏泰东街,融科橄榄城(二期),3室2厅,30平米,中层(共18层),3499,合租,朝南,有,14/15号线
（独卫）州街 海淀南路稻香园 二居室   看房提前约 长租,海淀-苏州街 海淀南路1-17号,海淀南路小区,2室1厅,17平米,低层(共16层),3610,合租,朝南,无,10号线/西郊线/4号线大兴线
月付 免中介费 电力医院 莲花池南里 1600月 次卧室,丰台-太平桥 莲花池南路,莲花池南里,3室1厅,10平米,高层(共6层),1600,合租,朝东,无,7/9/10号线
十号线宋家庄地铁成寿寺十里河精装两居室设施齐全随时看房入住,丰台-宋家庄 宋庄路26号,红狮家园,2室1厅,88.6平米,高层(共11层),6500,整租,南北,有,5/10号线/亦庄线
7号线万盛东站永丰里一居室带阳台可月付,通州-梨园 曹园南街,永丰里C区,1室1厅,57平米,中层(共18层),3500,整租,朝南,有,无
甘家口（实图实价） 白锥子 增光路 钓鱼台 国宾馆 白石桥,海淀-甘家口 甘家口北街,甘家口小区,3室1厅,12平米,高层(共6层),2200,合租,朝北,有,6/9/16号线
10号线 首经贸站 万年花城 首经贸中街1号院 主卧 密码锁,丰台-玉泉营 首经贸中街1号,首经贸中街1号院,3室1厅,20平米,低层(共20层),2300,合租,朝南,有,10号线/房山线
义和庄地铁口 朝南次卧采光好 包物业取暖 随时看房,大兴-大兴周边 新源大街,恒大未来城(公寓住宅),3室1厅,20平米,高层(共19层),1600,合租,朝南,有,4号线大兴线
紧邻积水潭医院 融泽嘉园 租住时间可灵活调整 价格可谈通风好,昌平-龙域 龙域西二路6号,融泽嘉园西6号院,3室1厅,15平米,高层(共31层),2500,合租,朝北,有,13号线
我爱我家相寓 万寿路沙沟铁路宿舍中楼层3居室次卧2,海淀-万寿路 万寿路1号,万寿路一号院,3室1厅,10平米,共5层,2615,合租,朝北,无,10号线
通州北关 侨商南向正规一居室 近地铁,通州-北关 新华北路,世界侨商中心,1室1厅,71.2平米,中层(共29层),5000,整租,朝南,有,6号线
酒仙桥 东坝 坝鑫家园 全齐一居室 拿包入住 价格便宜,朝阳-东坝 单店西路2号,坝鑫家园,1室1厅,60平米,低层(共21层),4500,整租,朝南,无,无
16号线北安河地铁站，安河小区，精装次卧出租，随时看随时入住,海淀-苏家坨 北清路,安河家园九里,3室1厅,16平米,中层(共15层),1760,合租,朝北,有,16号线
泥洼地铁口 盛鑫嘉园 精装主卧带阳台次卧出租,丰台-丰益桥 丰管路5号,盛鑫嘉园,2室2厅,20平米,中层(共26层),2200,合租,朝南,有,9/10/14号线/房山线
八通地铁站土桥精装两居室电梯房中楼层随时可住,通州-土桥 土桥中街,华远铭悦园(南区),2室1厅,91.5平米,中层(共27层),3500,整租,朝北,有,八通线
租期灵活！东大桥路3居1卫户型 1号线永安里三里屯,朝阳-东大桥 东大桥路,东大桥路小区,3室1厅,76平米,共5层,8000,整租,南北,无,1/2/6/10号线
物业直租！高层三居价格可谈！拎包住家电齐全！小区环境好,通州-新华大街 江米店街2号,富力运河十号小区,3室2厅,119.2平米,中层(共40层),8500,整租,南北,有,6号线
0中介 沙河地铁 高教园 西二旗  松兰堡 于辛庄,昌平-沙河 百沙路,新城公寓,3室1厅,25平米,中层(共6层),1550,合租,朝南,无,昌平线
定福庄 传媒大学地铁口 东亿国际 附近 精装修 采光好 干净,朝阳-定福庄 定福庄西街,定福庄西街小区,3室1厅,20平米,低层(共6层),2000,合租,朝南,无,八通线
东管头 万泉盛景园 丽泽商务区 中国戏曲学院 万润风景两居室,丰台-菜户营 万泉寺256号,万润风景,2室1厅,89平米,中层(共20层),6500,整租,南北,有,14号线/房山线
年底降价出租 土桥地铁站 砖厂新家园 南北通透两居双卫有钥匙,通州-土桥 群芳中二街,砖厂新家园,2室1厅,108平米,中层(共27层),4500,整租,南北,有,八通线
六号线通州北关万达广场附近低楼层精装修三居,通州-永顺 通惠河北沿河路,永顺南里2号院,3室1厅,100.8平米,中层(共6层),4999,整租,南北,无,6号线
金顶阳光柳青园 3室1厅1卫 南北通透 电梯房 精装修,"石景山-金顶街 金顶路,近阳光西街",金顶阳光柳青园,3室1厅,20平米,中层(共18层),1800,合租,朝南,有,1/6/11号线/S1线
望京西园三区 紧邻望京地铁站商业中心地点 望京soho 绿地,朝阳-望京 望京街,望京西园三区,4室1厅,25平米,低层(共21层),4000,合租,朝南,有,14/15号线
国贸大望路光辉南里71平米两居，南北通透，精装修,朝阳-大望路 建国路,光辉南里小区,2室1厅,70.4平米,中层(共6层),7300,整租,南北,有,1/10/14号线
北京大学 中关村附近 豪华公寓大一居看房随时,海淀-苏州街 海淀中街15号,远中悦莱,1室1厅,59平米,中层(共20层),11000,整租,朝西,有,10/16号线/西郊线/4号线大兴线
出租通州合景中心  可空房 可配齐 主卧带浴缸 随时看房,通州-新华大街 滨河中路,合景中心,3室2厅,117平米,中层(共29层),8800,整租,西北,有,6号线
望京南 朝庭公寓  嘉美风尚 国风上观 嘉润花园 出租,朝阳-望京 阜荣街8号,朝庭公寓,3室2厅,35平米,中层(共20层),3499,合租,朝南,有,14号线
苹果园八大处银保园主卧带独西山枫林四期中楼层3居室,石景山-八大处 八大处路甲26号,西山枫林(四区),3室1厅,18平米,高层(共6层),2300,合租,朝南,无,无
（适合小情侣）朝向南开间  家具家电齐全  随时看  精装修,海淀-清河 朱房路,强佑清河新城(西区),1室1厅,52平米,低层(共29层),5700,整租,朝南,有,8号线
通州北关一居复试双卫家电家具齐全高层智能锁包物业供暖押一付一,通州-北关 新华北路,保利大都汇,1室1厅,52.1平米,中层(共18层),5299,整租,西南,有,6号线
现房实拍有钥匙 全屋壁纸 适合朋友合住 楼下即地铁站,通州-物资学院路 朝阳北路,新建村(二期),3室1厅,90平米,高层(共28层),5999,整租,南北,有,6号线
尚品台湖精装一居复式，全屋定制家具，领包即住,通州-台湖镇 胡家垡村甲8号,东亚尚品台湖,1室1厅,39平米,高层(共15层),3200,整租,朝西,有,无
高米店南骏城 大次卧出租 可月付,"大兴-黄村 兴盛街,近康庄路",骏城,3室1厅,15平米,高层(共6层),1600,合租,朝北,无,无
首月减免500房租6号线褡裢坡定福庄精装主次卧泰福苑定福家园,朝阳-定福庄 定福庄路,定福庄北里1号院,3室1厅,16平米,低层(共22层),1600,合租,朝西,有,6号线/八通线
干净整洁 可洗澡做饭 交通便利 京旺家园,朝阳-朝阳周边 金港南路,京旺家园五区,2室1厅,20平米,高层(共17层),1900,合租,朝南,有,无
新上房源，南海家园精装两居，现房临近大族康龙化成龙湖天街同仁,大兴-亦庄 泰河一街,南海家园一里,2室1厅,90平米,中层(共18层),4500,整租,南北,有,无
定福庄 传媒大学地铁口 东亿国际 附近 精装修 采光好 干净,朝阳-定福庄 定福庄西街,定福庄西街小区,3室1厅,20平米,低层(共6层),2000,合租,朝南,无,八通线
推荐好房 西黄村地铁雍景四季西黄新村北里叠翠庭苑宜家好次卧,石景山-苹果园 田村路,叠翠庭苑(二区),3室1厅,15平米,中层(共16层),1800,合租,朝南,有,6号线
酒仙桥 恒通 兆维工业园 798艺术区it产业园滨河一号次卧,朝阳-酒仙桥 骆房营路,丽都东镇,3室1厅,16平米,中层(共8层),2300,合租,朝南,有,14号线
干净整洁 可洗澡做饭 交通便利 京旺家园,朝阳-朝阳周边 金港南路,京旺家园五区,2室1厅,20平米,高层(共17层),1900,合租,朝南,有,无
北京大学 中关村附近 豪华公寓大一居看房随时,海淀-苏州街 海淀中街15号,远中悦莱,1室1厅,59平米,中层(共20层),11000,整租,朝西,有,10/16号线/西郊线/4号线大兴线
（适合小情侣）朝向南开间  家具家电齐全  随时看  精装修,海淀-清河 朱房路,强佑清河新城(西区),1室1厅,52平米,低层(共29层),5700,整租,朝南,有,8号线
物业直租！高层三居价格可谈！拎包住家电齐全！小区环境好,通州-新华大街 江米店街2号,富力运河十号小区,3室2厅,119.2平米,中层(共40层),8500,整租,南北,有,6号线
新！中间建筑 精装叠拼别墅 会所接待 停车方便 注册 有花园,海淀-香山 杏石口路50号,中间建筑,4室2厅,349平米,共4层,40000,整租,南北,有,无
亚运村 风格派 一居室 近地铁 高层南向 采光明亮,朝阳-亚运村 北苑路甲166号,风格派,1室1厅,68平米,高层(共22层),7000,整租,西南,有,5/15号线
甘家口（实图实价） 白锥子 增光路 钓鱼台 国宾馆 白石桥,海淀-甘家口 甘家口北街,甘家口小区,3室1厅,12平米,高层(共6层),2200,合租,朝北,有,6/9/16号线
龙跃苑（东五）精装大次卧中间楼层，手慢无，居住人群素质高,昌平-霍营 良庄西街,龙跃苑(东五区),3室1厅,18平米,中层(共6层),1900,合租,朝北,无,8/13号线
16号线北安河地铁站，安河小区，精装次卧出租，随时看随时入住,海淀-苏家坨 北清路,安河家园九里,3室1厅,16平米,中层(共15层),1760,合租,朝北,有,16号线
新上房源，南海家园精装两居，现房临近大族康龙化成龙湖天街同仁,大兴-亦庄 泰河一街,南海家园一里,2室1厅,90平米,中层(共18层),4500,整租,南北,有,无
必看好房！新上精装两居有钥匙！随时入住（其它都好商量）,海淀-清河 学府树北街,橡树湾(一期),2室1厅,89平米,低层(共21层),10000,整租,东南,有,13号线
高米店南骏城 大次卧出租 可月付,"大兴-黄村 兴盛街,近康庄路",骏城,3室1厅,15平米,高层(共6层),1600,合租,朝北,无,无
10号线角门东地铁 洋桥71号院精装温馨卧室 随时入住,丰台-马家堡 马家堡路,洋桥71号院,3室1厅,13平米,高层(共19层),1600,合租,朝南,有,10号线/4号线大兴线
必看好房 随时起租  正南 1室1厅  东恒时代二期,朝阳-四惠 八里庄东里甲2号,东恒时代二期,1室1厅,73.6平米,中层(共21层),10300,整租,朝南,有,1/6号线/八通线
通州北关地铁保利一居复试双卫智能锁家电家具齐全包物业供暖费用,通州-北关 新华北路,保利大都汇,1室1厅,42.2平米,低层(共18层),4799,整租,西北,有,6号线
京旺家园 干净主卧 特价 近望京大山子来广营酒仙桥恒通产业园,朝阳-朝阳周边 金港南路,京旺家园七区,3室1厅,20平米,低层(共11层),1700,合租,朝南,有,无
酒仙桥 东坝 坝鑫家园 全齐一居室 拿包入住 价格便宜,朝阳-东坝 单店西路2号,坝鑫家园,1室1厅,60平米,低层(共21层),4500,整租,朝南,无,无
科技园看丹桥九号线科怡路欧尚韩庄子二里次卧随时入住,丰台-看丹桥 丰台南路,韩庄子二里,3室1厅,15平米,低层(共6层),1799,合租,朝北,无,9号线
我爱我家相寓 万寿路沙沟铁路宿舍中楼层3居室次卧2,海淀-万寿路 万寿路1号,万寿路一号院,3室1厅,10平米,共5层,2615,合租,朝北,无,10号线
高米店南地铁口 主卧出租 可月付 兴涛社区,大兴-高米店 乐园路,兴涛园,4室2厅,20平米,低层(共6层),1800,合租,朝南,无,4号线大兴线
4号线公益西桥地铁口 东亚3环 朝南 精装一居 电梯房,丰台-马家堡 马家堡西路36号,东亚三环,1室0厅,34.8平米,低层(共25层),4100,整租,朝南,有,10号线/4号线大兴线
月付免佣月起租地铁7号线湾子马连道达官营六里桥实惠次卧随时住,西城-马连道 马连道南街,马连道西里小区,3室1厅,16平米,高层(共6层),2100,合租,朝南,无,7/9号线
义和庄地铁口 朝南次卧采光好 包物业取暖 随时看房,大兴-大兴周边 新源大街,恒大未来城(公寓住宅),3室1厅,20平米,高层(共19层),1600,合租,朝南,有,4号线大兴线
租期灵活！东大桥路3居1卫户型 1号线永安里三里屯,朝阳-东大桥 东大桥路,东大桥路小区,3室1厅,76平米,共5层,8000,整租,南北,无,1/2/6/10号线
月坛三里河金融街甘家口车公庄阜成门南礼士路木樨地女生房间,西城-三里河 复兴门外大街,三里河三区,3室1厅,8平米,共4层,1900,合租,朝东,无,1/2/9/16号线
BOBO自由城 1室1厅1卫 精装修 电梯房 55平,通州-武夷花园 紫运中路,BOBO自由城,1室1厅,55.1平米,低层(共16层),3800,整租,朝北,有,无
望京西园三区 紧邻望京地铁站商业中心地点 望京soho 绿地,朝阳-望京 望京街,望京西园三区,4室1厅,25平米,低层(共21层),4000,合租,朝南,有,14/15号线
软件园联想百度腾讯网易天融信滴滴高途后厂村路出租精装大次卧,海淀-西北旺 后厂村路,景和园,3室1厅,15平米,中层(共6层),2000,合租,朝北,无,16号线
押一付一 免租一个月龙山家园一号院次卧 包网包维修 近快四站,门头沟-大峪 黑山大街,龙山家园1号院,3室1厅,13平米,低层(共17层),1200,合租,朝南,有,无
八通地铁站土桥精装两居室电梯房中楼层随时可住,通州-土桥 土桥中街,华远铭悦园(南区),2室1厅,91.5平米,中层(共27层),3500,整租,朝北,有,八通线
梨花园 2室1厅1卫 62平 配套齐全 南北通透,通州-梨园 梨园北街,梨花园,2室1厅,62.4平米,中层(共6层),4600,整租,南北,无,八通线
无中介费青年路姚家园精装次卧带客厅.免水费可带现房房源,朝阳-姚家园 姚家园东里7号,姚家园东里七号院,4室0厅,15平米,高层(共18层),1800,合租,朝南,有,无
迎晖南苑 3室1厅1卫 1600元月 配套齐全 南北通透,门头沟-城子街道 龙石东路,迎晖南苑,3室1厅,20平米,低层(共28层),1600,合租,朝南,有,S1线
十号线宋家庄地铁成寿寺十里河精装两居室设施齐全随时看房入住,丰台-宋家庄 宋庄路26号,红狮家园,2室1厅,88.6平米,高层(共11层),6500,整租,南北,有,5/10号线/亦庄线
1号线传媒大学地铁站北花园小区2号院合租次卧,朝阳-高碑店 北花园中路,北花园小区(2号院),2室1厅,18平米,低层(共29层),1800,合租,朝南,有,八通线
年底降价出租 土桥地铁站 砖厂新家园 南北通透两居双卫有钥匙,通州-土桥 群芳中二街,砖厂新家园,2室1厅,108平米,中层(共27层),4500,整租,南北,有,八通线
落地窗主卧！金港国际3居2卫户型 九龙山合生汇金茂府,朝阳-大望路 西大望路19号,金港国际,3室1厅,25平米,高层(共8层),3200,合租,朝南,有,1/7/14号线
可月付 无中介费 华贸城精装修次卧 干净整洁 看房随时,朝阳-北苑 水岸南街7号,华贸城(7号院),4室1厅,10平米,中层(共17层),2100,合租,朝南,有,13号线
可月付 可短住 西土城 知春路 牡丹园 北医三院 花园路,海淀-学院路 花园北路48号,花园北路48号院,4室1厅,10平米,高层(共18层),2200,合租,东北,有,10/13/19号线
首佽出租 南关地铁站附近 精装修 包物业取暖 良乡华冠附近,房山-良乡 罗府街134号,署前街家园,2室1厅,80平米,高层(共6层),3300,整租,朝南,无,房山线
地铁梨园站北运河西站运河商务区无物业费包取暖费随时看房,通州-运河大街 运河东大街3号,柳岸景园,2室1厅,49.2平米,高层(共6层),3150,整租,南北,无,无
北京像素北区 3室1厅2卫 精装修 配套齐全 18平,朝阳-常营 五里桥二街1号,中弘北京像素北区,3室1厅,18平米,高层(共17层),1699,合租,朝南,有,6号线
实图实价首经贸地铁可整租可分租万年花城育芳园育菲园东里三居室,丰台-玉泉营 芳菲路,育菲园东里,3室1厅,90平米,高层(共6层),6300,整租,朝南,无,10号线/房山线
北关附近 友谊医院对面 通瑞嘉苑 大窗户采光好 月付 无中介,通州-潞苑 潞苑东路,通瑞嘉苑,3室1厅,10平米,中层(共22层),1100,合租,朝西,有,无
酒仙桥驼房营南里低楼层2居室,朝阳-酒仙桥 驼房营南路,兆维小区,2室1厅,70平米,低层(共19层),6000,整租,朝南,无,无
保利罗兰香谷 毛条小区 一通小区 福田 包物业取暖 无中介费,昌平-沙河 沙阳路34号,保利罗兰香谷,3室1厅,20平米,低层(共15层),1550,合租,朝南,有,无
出租地铁六号线青年路往北朝阳站姚家园西里主卧朝南,朝阳-姚家园 姚家园西里2号,姚家园西里二号院,4室0厅,15平米,低层(共7层),2150,合租,朝南,有,无
高碑店金隅汇星苑低楼层3居室主卧,朝阳-朝青板块 大黄庄西路3号,金隅汇星苑,3室1厅,18平米,低层(共29层),2300,合租,朝南,有,6号线
泥洼地铁口 盛鑫嘉园 精装主卧带阳台次卧出租,丰台-丰益桥 丰管路5号,盛鑫嘉园,2室2厅,20平米,中层(共26层),2200,合租,朝南,有,9/10/14号线/房山线
看房随时 价格便宜 紧邻地铁 精美装修 舒适宜居,通州-北关 滨惠北一街3号,新光大中心,1室1厅,59.5平米,高层(共41层),4600,整租,西北,有,6号线
回龙观龙泽地铁龙华园东区2室1厅 集中供暖,昌平-回龙观 回龙观西大街1号,龙华园(东区),2室1厅,80.8平米,高层(共6层),6300,整租,南北,无,8/13号线
C21保真! 朝阳东坝利锦府豪华装修温馨小复式 随时看房入住,朝阳-东坝 东坝中街,利锦府,1室1厅,55平米,高层(共10层),6500,整租,朝西,有,无
丽泽天地 实图拍摄 地铁十号线 西局玉园 精装两居 干净整洁,丰台-丽泽桥 西局南街139号,西局玉园(北区),2室1厅,75平米,高层(共27层),6800,整租,朝南,有,9/10/14号线
云泽嘉苑 小园地铁S1线 精装修 直达金安桥杨庄 配套齐全,门头沟-永定 紫金路,云泽嘉苑,3室1厅,10平米,中层(共31层),1100,合租,朝南,有,S1线
出租通州合景中心  可空房 可配齐 主卧带浴缸 随时看房,通州-新华大街 滨河中路,合景中心,3室2厅,117平米,中层(共29层),8800,整租,西北,有,6号线
双地铁4号线19号线南庭新苑合顺家园新宫家园御槐园精装两居,丰台-新宫 槐房西路316号,南庭新苑北区,2室1厅,58平米,中层(共16层),4800,整租,南北,有,19号线/4号线大兴线
0中介 沙河地铁 高教园 西二旗  松兰堡 于辛庄,昌平-沙河 百沙路,新城公寓,3室1厅,25平米,中层(共6层),1550,合租,朝南,无,昌平线
实地拍摄丨侨商公寓开间丨北关地铁A口300米丨世贸服务公寓丨,通州-北关 新华北路,世界侨商中心,1室1厅,41.9平米,低层(共27层),3700,整租,西北,有,6号线
定福庄 传媒大学地铁口 东亿国际 附近 精装修 采光好 干净,朝阳-定福庄 定福庄西街,定福庄西街小区,3室1厅,20平米,低层(共6层),2000,合租,朝南,无,八通线
物业直租！高层三居价格可谈！拎包住家电齐全！小区环境好,通州-新华大街 江米店街2号,富力运河十号小区,3室2厅,119.2平米,中层(共40层),8500,整租,南北,有,6号线
月付免佣月起租地铁7号线湾子马连道达官营六里桥实惠次卧随时住,西城-马连道 马连道南街,马连道西里小区,3室1厅,16平米,高层(共6层),2100,合租,朝南,无,7/9号线
7号线万盛东站永丰里一居室带阳台可月付,通州-梨园 曹园南街,永丰里C区,1室1厅,57平米,中层(共18层),3500,整租,朝南,有,无
BOBO自由城 1室1厅1卫 精装修 电梯房 55平,通州-武夷花园 紫运中路,BOBO自由城,1室1厅,55.1平米,低层(共16层),3800,整租,朝北,有,无
华业东方玫瑰（婚房）二居 南向带阳台 推荐 必看好房 临河里,"通州-梨园 梨园南街,近临河里路",华业东方玫瑰,2室1厅,91平米,中层(共27层),4600,整租,朝南,有,八通线
东管头 万泉盛景园 丽泽商务区 中国戏曲学院 万润风景两居室,丰台-菜户营 万泉寺256号,万润风景,2室1厅,89平米,中层(共20层),6500,整租,南北,有,14号线/房山线
必看好房！新上精装两居有钥匙！随时入住（其它都好商量）,海淀-清河 学府树北街,橡树湾(一期),2室1厅,89平米,低层(共21层),10000,整租,东南,有,13号线
苏州桥 万柳华联 小南庄 紫金庄园 厂洼 北外 西海国际,海淀-苏州桥 万泉河路,小南庄社区,3室1厅,10平米,高层(共6层),2600,合租,朝北,无,10/16号线/4号线大兴线
高米店南骏城 大次卧出租 可月付,"大兴-黄村 兴盛街,近康庄路",骏城,3室1厅,15平米,高层(共6层),1600,合租,朝北,无,无
